name,URL,parkCode,description,latitude,longitude,designation,physical address
Antietam National Battlefield,https://www.nps.gov/anti/index.htm,anti,"23,000 soldiers were killed, wounded or missing after twelve hours of savage combat on September 17, 1862. The Battle of Antietam ended the Confederate Army of Northern Virginia's first invasion into the North and led Abraham Lincoln to issue the preliminary Emancipation Proclamation.",39.46763452,-77.73828017,National Battlefield,"5831 Dunker Church Rd.

Sharpsburg, MD 21782"
Apostle Islands National Lakeshore,https://www.nps.gov/apis/index.htm,apis,"Imagine that moment, being in that perfect spot as the sun rises, and everything comes into focus. A rocky shoreline suddenly reflects the world around you. Waiting for you among the water, land, forests, and history is that moment. How will the islands inspire you?",46.96240467,-90.66045665,National Lakeshore,"415 Washington Avenue

Bayfield, WI 54814"
Appalachian National Scenic Trail,https://www.nps.gov/appa/index.htm,appa,"The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers.",40.41029575,-76.4337548,National Scenic Trail,"Appalachian Trail Park Office
P.O. Box 50
Harpers Ferry, WV 25425"
Appomattox Court House National Historical Park,https://www.nps.gov/apco/index.htm,apco,"On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born.",37.38022164,-78.79856982,National Historical Park,"Appomattox Court House National Historical Park
239 George Peers Drive
Appomattox, VA 24522"
Arches National Park,https://www.nps.gov/arch/index.htm,arch,"Visit Arches to discover a landscape of contrasting colors, land forms, and textures unlike any other in the world. The park has over 2,000 natural stone arches and hundreds of soaring pinnacles, massive rock fins, and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets.",38.72261844,-109.5863666,National Park,"5 miles north of Moab, Utah, on US 191

Moab, UT 84532"
Arkansas Post National Memorial,https://www.nps.gov/arpo/index.htm,arpo,"Located at the confluence of two rivers, Arkansas Post has served as a gathering place for many cultures throughout human history - it represents cultural cooperation, conflict, synthesis, and diversity.",34.00389998,-91.30837178,National Memorial,"1741 Old Post Road

Gillett, AR 72055"
"Arlington House, The Robert E. Lee Memorial",https://www.nps.gov/arho/index.htm,arho,"Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American history: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom.",38.8822021484375,-77.0734786987305,,"Arlington House, The Robert E. Lee Memorial
Arlington National Cemetery
Arlington, VA 22211"
Assateague Island National Seashore,https://www.nps.gov/asis/index.htm,asis,"Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent.",38.05593172,-75.24524611,National Seashore,"7206 National Seashore Lane

Berlin, MD 21811"
Aztec Ruins National Monument,https://www.nps.gov/azru/index.htm,azru,Pueblo people describe this site as part of their migration journey. Today you can follow their ancient passageways to a distant time. Explore a 900-year old ancestral Pueblo Great House of over 400 masonry rooms. Look up and see original timbers holding up the roof. Search for the fingerprints of ancient workers in the mortar. Listen for an echo of ritual drums in the reconstructed Great Kiva.,36.83682216,-107.9999245,National Monument,"725 Ruins Road

Aztec, NM 87410"
Badlands National Park,https://www.nps.gov/badl/index.htm,badl,"The rugged beauty of the Badlands draws visitors from around the world. These striking geologic deposits contain one of the world’s richest fossil beds. Ancient horses and rhinos once roamed here. The park’s 244,000 acres protect an expanse of mixed-grass prairie where bison, bighorn sheep, prairie dogs, and black-footed ferrets live today.",43.68584846,-102.482942,National Park,"25216 Ben Reifel Road

Interior, SD 57750"
Baltimore-Washington Parkway,https://www.nps.gov/bawa/index.htm,bawa,"This 29-mile highway connects Baltimore, MD and Washington, D.C. The parkway has carried visitors to and from the capital city since 1954.",39.02604289,-76.85410921,Parkway,"Baltimore Washington Parkway

Greenbelt, MD 20770"
Bandelier National Monument,https://www.nps.gov/band/index.htm,band,"Bandelier National Monument protects over 33,000 acres of rugged but beautiful canyon and mesa country as well as evidence of a human presence here going back over 11,000 years. Petroglyphs, dwellings carved into the soft rock cliffs, and standing masonry walls pay tribute to the early days of a culture that still survives in the surrounding communities.",35.77898596,-106.3317124,National Monument,"Bandelier National Monument
15 Entrance RD
Los Alamos, NM 87544"
Belmont-Paul Women's Equality National Monument,https://www.nps.gov/bepa/index.htm,bepa,"Home to the National Woman's Party for more than 90 years, this was the epicenter of the struggle for women's rights. From this house in the shadow of the U.S. Capitol and Supreme Court, Alice Paul and the NWP developed innovative strategies and tactics to advocate for the Equal Rights Amendment and equality for women. President Barack Obama designated the national monument on April 12, 2016.",38.89231541,-77.00381882,National Monument,"144 Constitution Ave NE

Washington, DC 20002"
Bent's Old Fort National Historic Site,https://www.nps.gov/beol/index.htm,beol,"Bent's Old Fort National Historic Site features a reconstructed 1840s adobe fur trading post on the mountain branch of the Santa Fe Trail where traders, trappers, travelers, and the Cheyenne and Arapaho tribes came together in peaceful terms for trade. Today, living historians recreate the sights, sounds, and smells of the past with guided tours, demonstrations and special events.",38.03977546,-103.4266499,National Historic Site,"35110 State Highway 194

La Junta, CO 81050"
Bering Land Bridge National Preserve,https://www.nps.gov/bela/index.htm,bela,Bering Land Bridge National Preserve lies at the continental crossroads that greatly influenced the distribution of life in the Western Hemisphere during the Pleistocene Epoch. It is a vital landscape for indigenous communities who depend on the land just as their ancestors did for many generations. It is a wild and ecologically healthy landscape unlike any other.,65.96087902,-164.4086432,National Preserve,"214 Front St.
Sitnasuak Building
Nome, AK 99762"
Big Bend National Park,https://www.nps.gov/bibe/index.htm,bibe,"There is a place in Far West Texas where night skies are dark as coal and rivers carve temple-like canyons in ancient limestone. Here, at the end of the road, hundreds of bird species take refuge in a solitary mountain range surrounded by weather-beaten desert. Tenacious cactus bloom in sublime southwestern sun, and diversity of species is the best in the country. This magical place is Big Bend...",29.29817767,-103.2297897,National Park,"1 Panther Junction

Big Bend National Park, TX 79834"
Big Cypress National Preserve,https://www.nps.gov/bicy/index.htm,bicy,"The freshwaters of the Big Cypress Swamp, essential to the health of the neighboring Everglades, support the rich marine estuaries along Florida's southwest coast. Conserving over 729,000 acres of this vast swamp, Big Cypress National Preserve contains a mixture of tropical and temperate plant communities that are home to diverse wildlife, including the Endangered Florida panther.",25.97079602,-81.08120629,National Preserve,"33100 Tamiami Trail East

Ochopee, FL 34141"
Big Hole National Battlefield,https://www.nps.gov/biho/index.htm,biho,"On August 9, 1877 gun shots shattered a chilly dawn on a sleeping camp of Nez Perce. By the time the smoke cleared on August 10, almost 90 Nez Perce were dead along with 31 soldiers and volunteers. Big Hole National Battlefield was created to honor all who were there.",45.64647324,-113.6458443,National Battlefield,"16425 Highway 43 West

Wisdom, MT 59761"
Big South Fork National River & Recreation Area,https://www.nps.gov/biso/index.htm,biso,"Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",36.5348388,-84.66506688,National River & Recreation Area,"4564 Leatherwood Road

Oneida, TN 37841"
Big Thicket National Preserve,https://www.nps.gov/bith/index.htm,bith,"Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats converge in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.",30.4579834310497,-94.3867421150208,National Preserve,"6102 FM 420

Kountze, TX 77625"
Bighorn Canyon National Recreation Area,https://www.nps.gov/bica/index.htm,bica,"The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore.",45.13154227,-108.1443943,National Recreation Area,"Bighorn Canyon National Recreation Area South District Visitor Center
20 US Hwy 14A
Lovell, WY 82431"
Birmingham Civil Rights National Monument,https://www.nps.gov/bicr/index.htm,bicr,"In 1963, images of snarling police dogs unleashed against non-violent protesters and of children being sprayed with high-pressure hoses appeared in print and television news around the world. These dramatic scenes of violent police aggression against civil rights protesters in Birmingham, Alabama were vivid examples of segregation and racial injustice in America.",33.5154266357422,-86.8146667480469,National Monument,"A.G. Gaston Motel
1520 5th Avenue North
Birmingham, AL 35203"
Biscayne National Park,https://www.nps.gov/bisc/index.htm,bisc,"Within sight of Miami, yet worlds away, Biscayne protects a rare combination of aquamarine waters, emerald islands, and fish-bejeweled coral reefs. Evidence of 10,000 years of human history is here too; from prehistoric tribes to shipwrecks, and pineapple farmers to presidents. For many, the park is a boating, fishing, and diving destination, while others enjoy a warm breeze and peaceful scenery.",25.490587,-80.21023851,National Park,"9700 SW 328th Street
Sir Lancelot Jones Way
Homestead, FL 33033"
Black Canyon Of The Gunnison National Park,https://www.nps.gov/blca/index.htm,blca,"Big enough to be overwhelming, still intimate enough to feel the pulse of time, Black Canyon of the Gunnison exposes you to some of the steepest cliffs, oldest rock, and craggiest spires in North America. With two million years to work, the Gunnison River, along with the forces of weathering, has sculpted this vertical wilderness of rock, water, and sky.",38.57779869,-107.7242756,National Park,"South Rim Visitor Center
9800 Highway 347
Montrose, CO 81401"
Blackstone River Valley National Historical Park,https://www.nps.gov/blrv/index.htm,blrv,"The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived, and continues to reverberate across the nation to this day. Come visit and see how this revolution transformed the landscape of the Blackstone Valley and then the United States.",41.8775792791768,-71.3824339450125,National Historical Park,"67 Roosevelt Ave

Pawtucket, RI 02860"
Blue Ridge Parkway,https://www.nps.gov/blri/index.htm,blri,"A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special.",35.5657195273801,-82.4864845870113,Parkway,"Milepost 384

Asheville, NC 28803"
Bluestone National Scenic River,https://www.nps.gov/blue/index.htm,blue,The Bluestone River and the rugged and ancient gorge it has carved is a richly diverse and scenic area of the southern Appalachians. Bluestone National Scenic River is preserved as a living landscape that provides an unspoiled experience for visitors and a haven for a variety of plants and animals. The park protects a 10.5-mile section of the Bluestone River in southern West Virginia.,37.56577087,-80.98366657,National Scenic River,"3405 Pipestem Drive

Pipestem, WV 25979"
Booker T Washington National Monument,https://www.nps.gov/bowa/index.htm,bowa,"Booker T. Washington was born a slave in April 1856 on the 207-acre farm of James Burroughs. After the Civil War, Washington became the first principal of Tuskegee Normal and Industrial School. Later as an adviser, author and orator, his past would influence his philosophies as the most influential African American of his era. Come explore his birthplace.",37.11520539,-79.73185833,National Monument,"12130 Booker T. Washington Highway

Hardy, VA 24101"
Boston African American National Historic Site,https://www.nps.gov/boaf/index.htm,boaf,"Centered on the north slope of Beacon Hill, the African American community of 19th century Boston led the city and the nation in the fight against slavery and injustice. These remarkable men and women, together with their allies, were leaders in the Abolition Movement, the Underground Railroad, the Civil War, and the early struggle for equal rights and education.",42.35908295,-71.06764181,National Historic Site,"15 State Street
Boston African American National Historical Site
Boston, MA 02109"
Boston Harbor Islands National Recreation Area,https://www.nps.gov/boha/index.htm,boha,". . . where you can walk a Civil War-era fort, visit historic lighthouses, explore tide pools, hike lush trails, camp under the stars, or relax while fishing, picnicking or swimming-all within reach of downtown Boston. Youth programs, visitor services, research, wildlife management, and more are coordinated on the park's 34 islands and peninsulas by the Boston Harbor Islands Partnership.",42.30905526,-70.93941138,National Recreation Area,"15 State Street
4th Floor
Boston, MA 02109"
Boston National Historical Park,https://www.nps.gov/bost/index.htm,bost,"Discover how one city could be the Cradle of Liberty, site of the first major battle of American Revolution, and home to many who espoused that freedom can be extended to all.",42.36957407,-71.05536763,National Historical Park,"Boston National Historical Park
21 Second Ave
Charlestown, MA 02129"
Brices Cross Roads National Battlefield Site,https://www.nps.gov/brcr/index.htm,brcr,"The Confederate victory at Brices Cross Roads was a significant victory for Major General Nathan Bedford Forrest, but its long term effect on the war proved costly for the Confederates. Brices Cross Roads is an excellent example of winning the battle, but losing the war.",34.50611958,-88.72889343,National Battlefield Site,"260 Bethany Rd

Guntown, MS 38849"
Brown v. Board of Education National Historic Site,https://www.nps.gov/brvb/index.htm,brvb,"The story of Brown v. Board of Education, which ended legal segregation in public schools, is one of hope and courage. When the people agreed to be plaintiffs in the case, they never knew they would change history. The people who make up this story were ordinary people. They were teachers, secretaries, welders, ministers and students who simply wanted to be treated equally.",39.03787665,-95.67614437,National Historic Site,"1515 SE Monroe Street

Topeka, KS 66612-1143"
Bryce Canyon National Park,https://www.nps.gov/brca/index.htm,brca,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.",37.58399144,-112.1826689,National Park,"Highway 63
Bryce Canyon National Park
Bryce, UT 84764"
Buck Island Reef National Monument,https://www.nps.gov/buis/index.htm,buis,"Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike. For the General Management Plan and Environmental Compliance, visit the News page.",17.81026717,-64.6222179,National Monument,"2100 Church St. #100

Christiansted, St. Croix, VI 00820"
Buffalo National River,https://www.nps.gov/buff/index.htm,buff,"Established in 1972, Buffalo National River flows freely for 135 miles and is one of the few remaining undammed rivers in the lower 48 states. Once you arrive, prepare to journey from running rapids to quiet pools while surrounded by massive bluffs as you cruise through the Ozark Mountains down to the White River.",36.04116481,-92.90761584,National River,"170 Ranger Road

St. Joe, AR 72675"
Cabrillo National Monument,https://www.nps.gov/cabr/index.htm,cabr,"Climbing out of his boat and onto shore in 1542, Juan Rodriguez Cabrillo stepped into history as the first European to set foot on what is now the West Coast of the United States. In addition to telling the story of 16th century exploration, the park is home to a wealth of cultural and natural resources. Join us and embark on your own Voyage of Exploration.",32.6722503,-117.2415985,National Monument,"1800 Cabrillo Memorial Drive

San Diego, CA 92106"
California National Historic Trail,https://www.nps.gov/cali/index.htm,cali,"Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons.",42.3999643979285,-108.702415369046,National Historic Trail,"National Trails Office Regions 6|7|8
California National Historic Trail
Santa Fe, NM 87505"
Camp Nelson National Monument,https://www.nps.gov/cane/index.htm,cane,"Established as a supply depot and hospital during the Civil War for the U.S. Army, Camp Nelson became a large recruitment and training center for African American soldiers (USCTs), and a refugee camp for their wives and children. Thousands of enslaved people escaped to this site with the hope of securing freedom and ultimately controlling their futures by aiding in the destruction of slavery.",37.7970179912726,-84.5981683059999,National Monument,"6614 Danville Road

Nicholasville, KY 40356"
Canaveral National Seashore,https://www.nps.gov/cana/index.htm,cana,"This pristine barrier island composed of dune, hammock and lagoon habitats provides protection from storms, preserves ancient Timucua Native American mounds, and is sanctuary for thousands of species of plants and animals that call Canaveral National Seashore home. Reflect on a pristine undeveloped shoreline, explore a historic site, or experience the rumble of a rocket soaring into space.",28.78637529,-80.75419576,National Seashore,"Apollo Visitor Center,
7611 S Atlantic Ave
New Smyrna Beach, FL 32169"
Cane River Creole National Historical Park,https://www.nps.gov/cari/index.htm,cari,"The Cane River region is home to a unique culture; the Creoles. Generations of the same families of owners and workers, enslaved and tenant, lived on these lands for over 200 years. The park tells their stories and preserves the cultural landscape of Oakland and Magnolia Plantations, two of the most intact Creole cotton plantations in the United States.",31.65408447,-93.00131977,National Historical Park,"4386 Highway 494, Natchez, LA 71456 (Oakland )
5549 Highway 119, Cloutierville, LA  71416 (Magnolia)
Natchitoches Parish, LA 71457"
Canyon de Chelly National Monument,https://www.nps.gov/cach/index.htm,cach,"For nearly 5,000 years, people have lived in these canyons - longer than anyone has lived uninterrupted anywhere on the Colorado Plateau. In the place called Tsegi, their homes and images tell us their stories. Today, Navajo families make their homes, raise livestock, and farm the lands in the canyons. A place like no other, the park and Navajo Nation work together to manage the land's resources.",36.14319567,-109.3388303,National Monument,"3 miles E of Highway 191 on Route 7

Chinle, AZ 86503"
Canyonlands National Park,https://www.nps.gov/cany/index.htm,cany,"Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure.",38.24555783,-109.8801624,National Park,"Island in the Sky - 33 miles from Moab on UT 313
The Needles - 49 miles from Monticello on UT 211
Moab, UT 84532"
Cape Cod National Seashore,https://www.nps.gov/caco/index.htm,caco,"The great Outer Beach described by Thoreau in the 1800s is protected within the national seashore. Forty miles of pristine sandy beach, marshes, ponds, and uplands support diverse species. Lighthouses, cultural landscapes, and wild cranberry bogs offer a glimpse of Cape Cod's past and continuing ways of life. Swimming beaches and walking and biking trails beckon today's visitors.",41.92381465,-70.04319832,National Seashore,"50 Nauset Road

Eastham, MA 02642"
Cape Hatteras National Seashore,https://www.nps.gov/caha/index.htm,caha,"The sound of ocean waves, the starry night sky, or the calm of the salt marshes, you can experience it all. Shaped by the forces of water, wind, and storms these islands are ever changing. The plants, wildlife, and people who live here adapt continually. Whether you are enjoying the beach, kayaking the sound, or climbing the Cape Hatteras Lighthouse there is something for everyone to explore!",35.41370839,-75.65061112,National Seashore,"46375 Lighthouse Road
Cape Hatteras Light Station
Buxton, NC 27920"
Cape Henry Memorial Part of Colonial National Historical Park,https://www.nps.gov/came/index.htm,came,"English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown.",36.9278094,-76.0088219,Part of Colonial National Historical Park,"Atlantic Ave

Fort Story, VA 23459"
Cape Krusenstern National Monument,https://www.nps.gov/cakr/index.htm,cakr,"North of the Arctic Circle, the monument forms 70 miles of shoreline on the Chukchi Sea. More than 114 beach ridges provide evidence of human use for 5,000 years. The Inupiat continue to use the area today. Vast wetlands provide habitat for shorebirds from as far away as South America. Hikers and boaters can see carpets of wildflowers among shrubs containing wisps of qiviut from muskoxen.",67.41499986,-163.5037786,National Monument,"171 3rd Ave

Kotzebue, AK 99752"
Cape Lookout National Seashore,https://www.nps.gov/calo/index.htm,calo,"A boat ride three miles off-shore brings you to the barrier islands of Cape Lookout National Seashore. Horse watching, shelling, fishing, birding, camping, lighthouse climbing, and touring historic villages--there’s something for everyone at Cape Lookout. Be sure to bring all the food, water, and supplies you need (and carry your trash out of the park) when visiting these remote beaches.",34.8267961,-76.34319082,National Seashore,"1800 Island Rd

Harkers Island, NC 28531"
Capitol Hill Parks,https://www.nps.gov/cahi/index.htm,cahi,"The Capitol Hill Parks include several park areas east of the U.S. Capitol. Included in this group are Folger, Lincoln, Stanton, and Marion Parks, the Eastern Market and Potomac Avenue Metro stations, and several smaller land parcels such as Seward Square, Twining Square, the Maryland Avenue Triangles, the Pennsylvania Avenue Medians, and 59 inner-city triangles and squares.",38.889993,-76.990332,,"Capitol Hill Parks are spread out in various locations on Capitol Hill

Washington, DC 20003"
